Date:	Sales	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.27984084880636606, 0.18, 0.3275862068965517, 0.193]	line-line	header-question	-0.2984	0.063	-0.3462	0.061	-0.3926	0.076	0
Date:	PROJECT	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.3859416445623342, 0.145, 0.473474801061008, 0.16]	no-link	header-header	0.2865	0.2401	0.1525	-0.028	-0.028	-0.013	0
Date:	APPROVAL	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.48010610079575594, 0.147, 0.5769230769230769, 0.164]	no-link	header-header	0.1923	0.1459	0.0491	-0.03	-0.032	-0.015	0
Date:	MARKET	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.23474801061007958, 0.159, 0.3156498673740053, 0.172]	no-link	header-header	0.4377	0.3912	0.3103	-0.042	-0.04	-0.027	0
Date:	PLANNING	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.3169761273209549, 0.162, 0.41644562334217505, 0.173]	no-link	header-header	0.3554	0.309	0.2095	-0.045	-0.041	-0.03	0
Date:	AND	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.41644562334217505, 0.162, 0.4588859416445623, 0.176]	no-link	header-header	0.256	0.2095	0.1671	-0.045	-0.044	-0.03	0
Date:	INFORMATION	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.46551724137931033, 0.163, 0.5928381962864722, 0.18]	no-link	header-header	0.2069	0.1605	0.0332	-0.046	-0.048	-0.031	0
Date:	Analysis	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.33156498673740054, 0.18, 0.41114058355437666, 0.194]	no-link	header-question	0.3408	0.2944	0.2149	-0.063	-0.062	-0.048	0
Date:	Newport	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.2572944297082228, 0.214, 0.32891246684350134, 0.229]	no-link	header-answer	0.4151	0.3687	0.2971	-0.097	-0.097	-0.082	0
Date:	Project	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.10742705570291777, 0.229, 0.16710875331564987, 0.244]	no-link	header-question	0.565	0.5186	0.4589	-0.112	-0.112	-0.097	0
Date:	Direct	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.25596816976127323, 0.23, 0.3076923076923077, 0.241]	no-link	header-answer	0.4164	0.37	0.3183	-0.113	-0.109	-0.098	0
Date:	Mail	[0.6259946949602122, 0.117, 0.6724137931034483, 0.132]	[0.3090185676392573, 0.23, 0.3421750663129973, 0.244]	no-link	header-answer	0.3634	0.317	0.2838	-0.113	-0.112	-0.098	0
