TO:	SUBMISSION	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	question-header	question-header	0.6393	0.004	0.5186	0.002	0.4867	0.017	0
TO:	B.	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	no-link	question-answer	-0.1101	-0.1419	-0.1592	-0.001	0.0	0.014	0
TO:	R.	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	no-link	question-answer	-0.0875	-0.1194	-0.1366	-0.002	0.0	0.013	0
TO:	FROM:	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.1273209549071618, 0.141, 0.1870026525198939, 0.158]	no-link	question-question	0.0318	0.0	-0.0597	-0.026	-0.028	-0.011	0
TO:	MAY	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.5981432360742706, 0.147, 0.6405835543766578, 0.16]	no-link	question-question	-0.439	-0.4708	-0.5133	-0.032	-0.03	-0.017	0
TO:	27	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.6445623342175066, 0.147, 0.6671087533156499, 0.161]	no-link	question-question	-0.4854	-0.5172	-0.5398	-0.032	-0.031	-0.017	0
TO:	AUG	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.7692307692307693, 0.147, 0.8116710875331565, 0.161]	no-link	question-question	-0.6101	-0.6419	-0.6844	-0.032	-0.031	-0.017	0
TO:	FROM:	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.1273209549071618, 0.141, 0.1870026525198939, 0.158]	line-line	question-question	0.0597	0.026	0.0	0.028	-0.0318	0.043	0
TO:	R.	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	question-answer	question-answer	0.1366	0.002	0.1194	0.0	0.0875	0.015	0
TO:	26	[0.1273209549071618, 0.115, 0.15915119363395225, 0.13]	[0.8129973474801061, 0.148, 0.8395225464190982, 0.163]	no-link	question-question	-0.6538	-0.6857	-0.7122	-0.033	-0.033	-0.018	0
B.	SPELL	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.29045092838196285, 0.116, 0.34615384615384615, 0.13]	word-word	answer-answer	0.0769	0.0	0.0212	0.0	0.004	0.014	0
B.	SUBMISSION	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	no-link	answer-header	-0.3594	-0.3767	-0.4973	-0.003	-0.002	0.011	0
B.	FROM:	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.1273209549071618, 0.141, 0.1870026525198939, 0.158]	no-link	answer-question	0.1592	0.1419	0.0822	-0.025	-0.028	-0.011	0
B.	MAY	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.5981432360742706, 0.147, 0.6405835543766578, 0.16]	no-link	answer-question	-0.3117	-0.3289	-0.3714	-0.031	-0.03	-0.017	0
B.	27	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.6445623342175066, 0.147, 0.6671087533156499, 0.161]	no-link	answer-question	-0.3581	-0.3753	-0.3979	-0.031	-0.031	-0.017	0
B.	AUG	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.7692307692307693, 0.147, 0.8116710875331565, 0.161]	no-link	answer-question	-0.4828	-0.5	-0.5424	-0.031	-0.031	-0.017	0
B.	26	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	[0.8129973474801061, 0.148, 0.8395225464190982, 0.163]	no-link	answer-question	-0.5265	-0.5438	-0.5703	-0.032	-0.033	-0.018	0
R.	B.	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.2692307692307692, 0.116, 0.2864721485411141, 0.13]	word-word	answer-answer	0.0398	-0.001	0.0225	0.0	0.0053	0.013	0
R.	SUBMISSION	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	no-link	answer-question	-0.382	-0.3992	-0.5199	-0.002	-0.002	0.011	0
R.	FROM:	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.1273209549071618, 0.141, 0.1870026525198939, 0.158]	no-link	answer-question	0.1366	0.1194	0.0597	-0.024	-0.028	-0.011	0
R.	MAY	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.5981432360742706, 0.147, 0.6405835543766578, 0.16]	no-link	answer-question	-0.3342	-0.3515	-0.3939	-0.03	-0.03	-0.017	0
R.	27	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.6445623342175066, 0.147, 0.6671087533156499, 0.161]	no-link	answer-question	-0.3806	-0.3979	-0.4204	-0.03	-0.031	-0.017	0
R.	AUG	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.7692307692307693, 0.147, 0.8116710875331565, 0.161]	no-link	answer-question	-0.5053	-0.5225	-0.565	-0.03	-0.031	-0.017	0
R.	26	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.8129973474801061, 0.148, 0.8395225464190982, 0.163]	no-link	answer-question	-0.5491	-0.5663	-0.5928	-0.031	-0.033	-0.018	0
R.	JUN	[0.246684350132626, 0.117, 0.2639257294429708, 0.13]	[0.5981432360742706, 0.165, 0.636604774535809, 0.182]	no-link	answer-question	-0.3342	-0.3515	-0.3899	-0.048	-0.052	-0.035	0
SUBMISSION	DATE	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	[0.7705570291777188, 0.119, 0.8275862068965517, 0.133]	word-word	header-header	0.1817	0.0	0.1247	0.001	0.004	0.014	0
SUBMISSION	FROM:	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	[0.1273209549071618, 0.141, 0.1870026525198939, 0.158]	no-link	header-question	0.6393	0.5186	0.4589	-0.022	-0.026	-0.009	0
SUBMISSION	MAY	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	[0.5981432360742706, 0.147, 0.6405835543766578, 0.16]	no-link	header-question	0.1684	0.0477	0.0053	-0.028	-0.028	-0.015	0
SUBMISSION	27	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	[0.6445623342175066, 0.147, 0.6671087533156499, 0.161]	no-link	header-question	0.122	0.0013	-0.0212	-0.028	-0.029	-0.015	0
SUBMISSION	AUG	[0.6458885941644562, 0.119, 0.76657824933687, 0.132]	[0.7692307692307693, 0.147, 0.8116710875331565, 0.161]	no-link	header-question	-0.0027	-0.1233	-0.1658	-0.028	-0.029	-0.015	0
